Benchmark,Steady Percentage
org_apacheproj_arrowmethod_org.apache.arrow.vector.util.TransferPairBenchmarks.splitAndTransferIntVectorparams_,"([0.9249832551908909, 0.9332662642521797, 0.9099129269926323, 0.9265347198926535, 0.9012760241773002, 0.9067513368983957, 0.9332886356017432, 0.9065952460662873, 0.9331990600872776, 0.9334448160535117], [0.0004734597139578471, 0.0004155800931557823, 0.0005475096476318073, 0.00045943610798114163, 0.0005846551644851178, 0.0005676798193214492, 0.00040514522671209575, 0.0005902134033505086, 0.0004174590231108798, 0.0003958933999154846], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_RoaringBitmapproj_RoaringBitmapmethod_org.roaringbitmap.writer.WriteSequential.incrementalUseOrderedWriterparams_randomness=0.5&scenario=SPARSE&size=100000,"([0.9150217464034794, 0.9166108506363028, 0.914850821320818, 0.9147364887546157, 0.9147078576225655, 0.9130580731789191, 0.9165269862554475, 0.914822266934943, 0.9113498992612492, 0.9148793565683646], [0.16113989747646343, 0.15765024316338266, 0.16080699241283905, 0.16158762139424104, 0.1621234901349848, 0.16831356810958842, 0.1572740705388826, 0.16132614033529546, 0.16738402331641872, 0.16120089375478688], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_HdrHistogramproj_HdrHistogrammethod_bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeedparams_,"([0.9322655989322656, 0.9302868579052702, 0.9336666666666666, 0.9336002669336003, 0.9336445481827276, 0.932, 0.9336445481827276, 0.9303333333333333, 0.932, 0.9336445481827276], [1.6234964465524735e-05, 1.6638647985253222e-05, 1.5758754197253024e-05, 1.5067054143234755e-05, 1.5717136456894326e-05, 1.560860525519983e-05, 1.5740180612880136e-05, 1.6513950191940374e-05, 1.60734270358097e-05, 1.5747075000795698e-05], [False, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_nettyproj_nettymethod_io.netty.microbench.buffer.ByteBufCopyBenchmark.setBytesparams_alignedCopyByteBuf=true&alignedCopyByteBuffer=true&directByteBuff=true&directByteBuffer=false&nativeOrderByteBuffer=true&pooledByteBuf=true&readonlyByteBuffer=false&size=7,"([0.9335781041388518, 0.9336224149432956, 0.9336666666666666, 0.9336666666666666, 0.9336666666666666, 0.9336666666666666, 0.927, 0.9336666666666666, 0.9336445481827276, 0.9302635969302636], [1.2830400973785907e-05, 1.3737253175614825e-05, 1.461378258253838e-05, 1.5686893952955262e-05, 1.4999160225083359e-05, 1.3789020941641548e-05, 1.634721769293443e-05, 1.477416856176411e-05, 1.4227575266878158e-05, 1.374110031049423e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_camelmethod_org.apache.camel.itest.jmh.SimpleOperatorTest.simplePredicateparams_,"([0.9301703975943869, 0.9116170070304653, 0.930193720774883, 0.9318181818181818, 0.8750835003340013, 0.9301470588235294, 0.8701168614357262, 0.9317040508871778, 0.8733711994654193, 0.9282120093928212], [4.970524945066664, 6.511688089600005, 5.114200610133333, 4.676276497066669, 8.613848678399993, 4.774633472000001, 8.858026530133332, 4.729859276800003, 8.846091878400001, 4.798737066666669], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_protostuffproj_protostuffmethod_io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fieldsparams_,"([0.9334670678702774, 0.9084836339345357, 0.915135315736719, 1.0003345600535296, 0.9015734851021091, 0.9316582914572864, 0.9033121445299431, 0.9334893048128342, 0.9334893048128342, 1.0003337783711614], [3.714572483137965e-05, 5.486438587037197e-05, 5.1290393751858164e-05, 0, 5.242838066954094e-05, 5.423639261938395e-05, 5.371068170033067e-05, 4.145005716916007e-05, 3.663258446982776e-05, 0], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_cantaloupe-projectproj_cantaloupemethod_edu.illinois.library.cantaloupe.perf.processor.ImageMagickProcessorPerformance.readInfoWithTIFparams_,"([0.9334002677376171, 0.9335781041388518, 0.9333779712085705, 0.9333556597454788, 0.9334670678702774, 0.9335115268960908, 0.9335781041388518, 0.9335781041388518, 0.9336666666666666, 0.9335115268960908], [0.5090850860554456, 0.5497508386370307, 0.51946417258037, 0.4754630674303917, 0.4728945003665428, 0.512502436235068, 0.504884873340541, 0.47711787485640444, 0.4821753778856832, 0.47613865780014475], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_protostuffproj_protostuffmethod_io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializerparams_stringLength=10000,"([0.9335115268960908, 0.9336224149432956, 0.9285475792988314, 0.9302868579052702, 0.9335115268960908, 0.9335115268960908, 0.9335781041388518, 0.930193720774883, 0.9301703975943869, 0.9301237044466734], [0.0038752728958974165, 0.00391688710884422, 0.004290824852174075, 0.004127561718806339, 0.003915883194563273, 0.003924917764876073, 0.004051891324762537, 0.004137162324667238, 0.004111711785189024, 0.004112631923616198], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_prometheusproj_client_javamethod_io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeIncBenchmarkparams_,"([0.9117647058823529, 0.9333779712085705, 0.9333556597454788, 1.0003343363423605, 0.9334002677376171, 0.9331990600872776, 0.9334225493476079, 0.9333556597454788, 0.9333556597454788, 0.9334002677376171], [3.22929104291475e-05, 2.3966018071827455e-05, 3.9141471926434844e-05, 0, 2.3891731874828396e-05, 2.5099988765909794e-05, 2.5113770200355196e-05, 2.596465125153405e-05, 2.565784673158774e-05, 2.527300910606193e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_cantaloupe-projectproj_cantaloupemethod_edu.illinois.library.cantaloupe.perf.processor.codec.TIFFImageWriterPerformance.testWriteWithPlanarImageAndEXIFMetadataparams_,"([0.9335559265442404, 0.9335115268960908, 0.9336224149432956, 0.9268537074148296, 0.9336224149432956, 0.9151069518716578, 0.9335559265442404, 0.9335781041388518, 0.9336002669336003, 0.9335781041388518], [1.0512338292944132, 0.9921310740120778, 0.9615368057992256, 1.052429271505643, 1.0019220610083075, 1.1985900526306357, 0.9430001827212845, 0.9761227118411735, 0.9614666141970746, 0.958365488303788], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_hivemethod_org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCountparams_aggregation=max&dataType=string&evalMode=COMPLETE&hasNulls=false&isRepeating=false&processMode=HASH,"([1.0003347840642784, 0.10496311200536552, 1.0003336670003338, 1.0003343363423605, 1.0003338898163605, 1.0003338898163605, 1.0003347840642784, 1.0003341129301704, 1.0003350083752094, 1.0003341129301704], [0, 0.04450499385936055, 0, 0, 0, 0, 0, 0, 0, 0], [True, False, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_crateproj_cratemethod_io.crate.execution.engine.reader.JsonReaderBenchmark.measureFileReadingIteratorForJsonparams_,"([0.9336666666666666, 0.9336666666666666, 0.9336666666666666, 0.9336666666666666, 0.9336666666666666, 0.9336666666666666, 0.9336224149432956, 0.9336666666666666, 0.9336224149432956, 0.9336445481827276], [0.5702894915274198, 0.4631367709154895, 0.4654614057731038, 0.4671658420095736, 0.4605567032346389, 0.4658034942545584, 0.46686338402749933, 0.46207127352357646, 0.46663108661930436, 0.46390577606356714], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_hazelcastproj_hazelcastmethod_com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.updateAdd_heap_4Gparams_depth=16,"([0.9166945466711275, 0.9018363939899833, 1.0003338898163605, 0.9184491978609626, 0.9335559265442404, 0.8965170797052914, 0.9083612040133779, 0.9336224149432956, 0.900033433634236, 0.9334448160535117], [4.079489643059223e-05, 4.727598789863826e-05, 0, 4.012119492613148e-05, 3.267410982166728e-05, 4.888650843050047e-05, 4.221144058998847e-05, 3.443629677171828e-05, 5.2680238103021644e-05, 3.2237405129653725e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_nettyproj_nettymethod_io.netty.microbench.buffer.ByteBufCopyBenchmark.setBytesparams_alignedCopyByteBuf=true&alignedCopyByteBuffer=false&directByteBuff=false&directByteBuffer=false&nativeOrderByteBuffer=false&pooledByteBuf=false&readonlyByteBuffer=false&size=36,"([0.9336445481827276, 0.7009003001000333, 0.9336445481827276, 0.9252835223482322, 0.9336224149432956, 0.932, 0.9336666666666666, 0.9336666666666666, 0.9336224149432956, 0.9236666666666666], [1.3596937468725083e-05, 1.2059928155841072e-05, 1.2079653458726034e-05, 1.544150764776347e-05, 1.4192086641802745e-05, 1.4127416883752063e-05, 1.3580029654185193e-05, 1.4521947083072422e-05, 1.2697886460088972e-05, 1.415207270269168e-05], [True, False, True, True, True, True, True, True, True, False], [True, True, True, True, True, True, True, True, True, True])"
