Benchmark,Steady Percentage
org_zalandoproj_logbookmethod_org.zalando.logbook.LogbookBenchmark.plainparams_,"([0.5606666666666666, 0.7083333333333334, 0.7066666666666667, 0.788, 0.6976666666666667, 0.37366666666666665, 0.646, 0.781, 0.7176666666666667, 0.6146666666666667], [0.018503563071902176, 0.008715526412603649, 0.020481089439861502, 0.01556940672085729, 0.014907701958883593, 0.008888933188295301, 0.019677220474204532, 0.008573071573213801, 0.014672302932026442, 0.016878626711783678], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_imglibproj_imglib2method_net.imglib2.loops.LoopPerformanceBenchmark.copy_pairedViewparams_,"([0.4836666666666667, 0.484, 0.483, 0.48333333333333334, 0.48333333333333334, 0.4836666666666667, 0.4836666666666667, 0.4836666666666667, 0.4826666666666667, 0.48433333333333334], [27.93989188266649, 27.918752153599797, 27.91928081066654, 27.930890513066522, 27.92292679679988, 27.921450052266458, 27.91193640959989, 27.927587498666576, 27.914742442666466, 27.923868330666405], [False, False, True, True, False, False, False, True, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_zalandoproj_logbookmethod_org.zalando.logbook.HeaderBenchmark.autoconfigurationResponseparams_,"([0.5096666666666667, 0.6596666666666666, 0.6863333333333334, 0.8686666666666667, 0.5813333333333334, 0.5856666666666667, 0.624, 0.7236666666666667, 0.63, 0.6936666666666667], [7.400742178989398e-05, 0.0001342692384433285, 7.777843222538677e-05, 9.878618182242624e-05, 0.00011742026287526918, 0.00028498473215644377, 7.704629851123788e-05, 7.612738397734989e-05, 0.00010281403113887201, 9.185397771621882e-05], [False, False, False, True, False, False, False, False, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_raphwproj_byte-buddymethod_net.bytebuddy.benchmark.ClassByImplementationBenchmark.baselineparams_,"([0.278, 0.8143333333333334, 0.894, 0.9366666666666666, 0.9256666666666666, 0.936, 0.8033333333333333, 0.8933333333333333, 0.91, 0.9063333333333333], [1.347224322992959e-05, 2.165804948756027e-05, 1.9921156928136496e-05, 1.3272352668614041e-05, 1.3452030992302243e-05, 1.3931793696643744e-05, 3.903012767263453e-05, 1.964860505323689e-05, 1.7631141268404016e-05, 1.8765866154474344e-05], [False, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_imglibproj_imglib2method_net.imglib2.loops.LoopPerformanceBenchmark.gradient_niceAndSlowparams_,"([0.22, 0.22, 0.21933333333333332, 0.21933333333333332, 0.221, 0.21966666666666668, 0.21933333333333332, 0.22, 0.22033333333333333, 0.221], [73.90329241600017, 73.85758924800002, 73.91153083733367, 73.9251896320004, 73.71868023466676, 73.89936298666677, 73.85847125333332, 73.79758011733333, 73.6695091200003, 73.67447620266668], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_kafkamethod_org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSizeparams_bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=SNAPPY&maxBatchSize=2&messageSize=100&messageVersion=1,"([0.279, 0.651, 0.651, 0.6576666666666666, 0.36, 0.36766666666666664, 0.868, 0.068, 0.7273333333333334, 0.8616666666666667], [0.0004042585760152757, 0.0004285947671082293, 0.00022446556924618502, 0.0008045676347405431, 0.00023687030191664763, 0.00022471445080490135, 0.00022443718205612372, 0.002439183307563069, 0.00022406780795807682, 0.0002228872939265921], [False, False, False, False, False, False, True, False, False, True], [True, True, True, True, True, True, True, False, True, True])"
org_RoaringBitmapproj_RoaringBitmapmethod_org.roaringbitmap.iteration.BatchIteratorBenchmark.iterateparams_bufferSize=128&dirtiness=0.5&keys=512&runniness=0.1,"([0.928, 0.9283333333333333, 0.929, 0.9286666666666666, 0.928, 0.928, 0.928, 0.9256666666666666, 0.9276666666666666, 0.927], [36.730830847999975, 36.73187942400001, 36.72427724800001, 36.755472384, 36.689149951999994, 36.77093888000002, 36.724277248000014, 36.894932992000015, 36.747870208, 36.683382783999996], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, False, True, False, False, False])"
org_openzipkinproj_zipkinmethod_zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFTparams_,"([0.5406666666666666, 0.7993333333333333, 0.8006666666666666, 0.6593333333333333, 0.933, 0.9353333333333333, 0.9283333333333333, 0.8573333333333333, 0.7, 0.9323333333333333], [0.0013556347006732229, 0.0011753597482137895, 0.0006144503345766785, 0.0013333065381959319, 0.0006191457843928754, 0.0006137258995321694, 0.0006828179729101502, 0.000598016886119175, 0.002604106702938225, 0.0006122269736245596], [False, False, False, False, True, True, True, True, False, True], [True, True, True, True, True, True, True, True, True, True])"
org_r2dbcproj_r2dbc-h2method_io.r2dbc.h2.StatementBenchmarks.parametrizedR2dbcparams_,"([0.7506666666666667, 0.44266666666666665, 0.7973333333333333, 0.7966666666666666, 0.8153333333333334, 0.9326666666666666, 0.24466666666666667, 0.068, 0.866, 0.715], [0.01515510061801554, 0.013580460189159182, 0.009670607132534304, 0.01893759036656141, 0.022712708714341237, 0.01799970447592319, 0.01659848708422382, 0.01868037767671007, 0.0524142681371857, 0.01642573390500901], [False, False, False, False, True, True, False, False, True, False], [True, True, True, True, True, True, True, False, True, True])"
org_JCToolsproj_JCToolsmethod_org.jctools.jmh.latency.QueueBurstCost.burstCostparams_burstSize=100&consumerCount=1&qCapacity=132000&qType=SpmcArrayQueue&warmup=true,"([0.3436666666666667, 0.13933333333333334, 0.19233333333333333, 0.06866666666666667, 0.16366666666666665, 0.07533333333333334, 0.105, 0.344, 0.37, 0.082], [0.0036458620243040966, 0.02872309150958157, 0.020811155066984666, 0.02741005407090749, 0.0233353154266684, 0.031441918439548716, 0.025541661885549027, 0.015941927417206014, 0.006761222050151179, 0.02637350905348949], [False, False, False, False, False, False, False, False, False, False], [True, False, True, False, True, False, False, True, True, False])"
