Benchmark,Steady Percentage
org_crateproj_cratemethod_io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLPlusPlusMurmur64params_,"([0.7875250166777852, 0.7116154873164219, 0.8178178178178178, 0.36251252923488136, 0.429, 0.7854521187854521, 0.6546426185704742, 0.8346115371790597, 0.7659432387312187, 0.8336112037345782], [0.45691371386737284, 0.6070831758425291, 0.3885970063067273, 1.301496704528517, 1.196095512528625, 0.44401265128015455, 0.7042719952683519, 0.3560613726670605, 0.49245756039001815, 0.3532818338357565], [True, True, True, True, True, True, True, True, False, True], [True, True, True, True, True, True, True, True, True, True])"
org_ReactiveXproj_RxJavamethod_io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybeEmptyPerf.flowableConvertparams_count=10000,"([0.828542780748663, 0.8245731503180449, 0.8334445927903872, 0.8334448160535117, 0.8331658291457287, 0.8235294117647058, 0.8335005015045135, 0.829644533869886, 0.8330545332887254, 0.8328308207705193], [1.066629275558348, 1.0599554872131454, 1.0461651378485561, 1.0342606445648206, 1.0281330962613051, 1.0690657457128954, 1.0508021308716426, 1.0399613558029628, 1.0009777465921705, 1.0121436250620166], [True, True, True, False, False, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_RoaringBitmapproj_RoaringBitmapmethod_org.roaringbitmap.equals.EqualsBenchmark.arrayVsArrayEqualsparams_firstMismatch=0.1&size=2000,"([0.8343333333333334, 0.6738912970990331, 0.834, 0.8286095365121707, 0.819, 0.8346666666666667, 0.8336666666666667, 0.4401467155718573, 0.8341121495327103, 0.5433622414943295], [2.9693110610452948e-05, 5.3959871083541124e-05, 2.962160797454412e-05, 3.206797344443198e-05, 3.1202312406295986e-05, 3.129013261202886e-05, 2.7784986957448816e-05, 9.470180544586041e-05, 2.6638361294458433e-05, 8.660816682796246e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_nettyproj_nettymethod_io.netty.handler.codec.mqtt.MqttConnectReturnCodeBench.getViaSwitchparams_,"([0.8346666666666667, 0.831, 0.8313333333333334, 0.8326666666666667, 0.829, 0.8336666666666667, 0.832, 0.8342780926975658, 0.834, 0.8336666666666667], [3.3396419195889e-05, 2.88099171865596e-05, 3.2243436771096696e-05, 3.660489692312879e-05, 3.169964109765756e-05, 2.8656579665464173e-05, 2.849777423383567e-05, 3.364376169674621e-05, 3.399358473047181e-05, 2.612254360269487e-05], [True, True, True, False, False, True, True, True, False, True], [True, True, True, True, True, True, True, True, True, True])"
org_jgraphtproj_jgraphtmethod_org.jgrapht.perf.flow.MaximumFlowAlgorithmPerformanceTest.PushRelabelMaximumFlowRandomGraphBenchmark.runparams_,"([0.8346666666666667, 0.6043333333333333, 0.774, 0.8313333333333334, 0.252, 0.8306666666666667, 0.6906666666666667, 0.7476666666666667, 0.819, 0.7746666666666666], [1210.0629954560013, 2879.930761216, 1636.9970053119987, 1265.3963509760006, 5433.194446847992, 1275.7625733120015, 2346.3104348159995, 1914.991280128001, 1347.8186188800003, 1697.4767718400008], [False, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_eclipseproj_rdf4jmethod_org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerSchemaparams_param=moreRdfs::12180,"([0.6664436266309802, 0.828428093645485, 0.8330545332887254, 0.8335005015045135, 0.8330545332887254, 0.8301003344481606, 0.8263633322181332, 0.8297658862876254, 0.8264794383149449, 0.8329986613119144], [27.747483647999953, 29.29809817600001, 29.664673791999984, 29.423599616000033, 27.352760319999998, 28.962717695999988, 31.070486528000014, 29.173612544000026, 29.879304192000014, 27.676508159999976], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_crateproj_cratemethod_io.crate.analyze.PreExecutionBenchmark.measureParseSimpleSelectparams_,"([0.8327187395239691, 0.8150501672240803, 0.8332219251336899, 0.8333333333333334, 0.8335561497326203, 0.8283132530120482, 0.8330545332887254, 0.6299529885829416, 0.828140703517588, 0.8245731503180449], [0.006863245375672414, 0.00804565745602207, 0.007578430458410622, 0.0071196298229615745, 0.006887672113417251, 0.007674098777443448, 0.0071471790011186625, 0.007028793858899549, 0.007499324825455169, 0.0073841343019764175], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_eclipse-vertxproj_vert.xmethod_io.vertx.benchmarks.ContextBenchmark.runOnContextNoChecksparams_,"([0.746995994659546, 0.8292764254751583, 0.8253333333333334, 0.596, 0.829219479653102, 0.167, 0.7509181969949916, 0.8289429809936646, 0.8296098699566522, 0.8302767589196399], [4.2919123889587866e-05, 3.4083847217535085e-05, 3.533350786629095e-05, 2.9458870524212528e-05, 3.4811422832149545e-05, 0.00016556685002270304, 4.584891007700726e-05, 3.309103394585923e-05, 3.420124219904923e-05, 3.190199434442845e-05], [True, True, True, False, True, False, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_raphwproj_byte-buddymethod_net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxyparams_,"([0.8326065078832606, 0.6168787675820495, 0.8328298086606244, 0.16924110141034251, 0.8324941255454851, 0.8331658291457287, 0.6344410876132931, 0.6638627187079408, 0.8323815922069198, 0.8327187395239691], [4.290414090036756e-06, 8.604740590044832e-06, 4.353078159945655e-06, 1.7422308168119546e-05, 4.41770209338854e-06, 4.928400367139637e-06, 9.462403378788129e-06, 8.998451990196824e-06, 4.5027211990429476e-06, 4.821334019107735e-06], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_crateproj_cratemethod_io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeSkippingBatchIteratorparams_,"([0.7875041764116272, 0.8340567612687813, 0.16755674232309747, 0.5694212111073937, 0.7474949899799599, 0.7911941294196131, 0.24073455759599333, 0.7870773351188484, 0.5202003338898163, 0.536096256684492], [93.65041971199965, 73.14486067199974, 345.99809843199506, 180.45822566400182, 109.38784153600086, 89.0762690560002, 324.0208629760001, 92.89872179200027, 129.2508856319999, 196.77079142400342], [True, True, True, True, True, True, True, True, False, True], [True, True, True, True, True, True, True, True, True, True])"
